Timestamp;unix data;Open;High;Low;Close;Volume (BTC);Volume (Currency);Weighted Price
16.11.2016;1479254400;711.07;742.87;708.44;739.71;11585.05;8443845.52;728.86
17.11.2016;1479340800;739.71;749.98;732.22;735.24;6681.43;4971520.49;744.08
18.11.2016;1479427200;736;752.95;731.31;748.98;4271.04;3180459.44;744.66
19.11.2016;1479513600;748.98;755.07;742.63;750.75;1965.44;1470296.81;748.08
20.11.2016;1479600000;750.09;753.82;714;727.09;5525.96;4046316.48;732.24
21.11.2016;1479686400;727.09;739.2;727.03;736.76;4017.58;2948982.13;734.02
22.11.2016;1479772800;736.92;750;730.27;749.22;5034.7;3735123.75;741.88
23.11.2016;1479859200;749.13;749.98;729.92;740.18;4462.78;3298351.61;739.08
24.11.2016;1479945600;740.18;741.15;729;735.63;4039.82;2967466.39;734.55
25.11.2016;1480032000;735.63;737.07;728;737.07;3356.09;2459029.2;732.71
26.11.2016;1480118400;736.96;737.56;722.3;729.91;2314.58;1685262.3;728.11
27.11.2016;1480204800;729.91;732;722.44;727.32;3447.87;2508288.05;727.49
28.11.2016;1480291200;727.32;732.44;724.1;729.54;4741.12;3457223;729.2
29.11.2016;1480377600;730.99;733.29;721;730.76;5406.9;3944721.68;729.57
30.11.2016;1480464000;730.72;744.49;727;742.06;6249.62;4608044.88;737.33
01.12.2016;1480550400;742.06;754.98;740.18;751.54;6124.5;4590130.15;749.47
02.12.2016;1480636800;751.55;778.07;750.77;769.99;8098.58;6209209.26;766.7
03.12.2016;1480723200;770.91;770.99;752.41;760.75;2772.66;2114389.56;762.58
04.12.2016;1480809600;762.97;762.97;752.41;762;3215.68;2440424.84;758.91
05.12.2016;1480896000;762;762.09;743;750.24;5567.77;4175776.97;749.99
06.12.2016;1480982400;749.51;759.9;747.99;758.98;6763.74;5108421.86;755.27
07.12.2016;1481068800;758.97;769.61;751.78;763.99;4809.71;3665122.08;762.03
08.12.2016;1481155200;764.05;772.01;762.29;766.84;4892.94;3758555.43;768.16
09.12.2016;1481241600;766.84;773.99;766.29;769.57;2868.42;2209620.29;770.33
10.12.2016;1481328000;769.57;774.12;768.11;772.28;2200.71;1700155.02;772.55
11.12.2016;1481414400;772.28;772.28;764.01;768.97;1421.13;1090977.42;767.68
12.12.2016;1481500800;768.97;779;768.96;776.9;2805.19;2174538.23;775.18
13.12.2016;1481587200;777;793.27;765.1;775.35;4918.81;3828369.08;778.31
14.12.2016;1481673600;775.75;781;770.74;777.09;2333.38;1812395.34;776.73
15.12.2016;1481760000;777.03;779.08;771;775.89;3039.82;2360816.75;776.63
16.12.2016;1481846400;776.3;782.46;771.24;781.32;3475.77;2706428.28;778.66
17.12.2016;1481932800;781.32;790.88;780.36;788.52;2389.76;1878367.31;786.01
18.12.2016;1482019200;788.3;790.99;780;788.67;2519.24;1983165.37;787.21
19.12.2016;1482105600;788.34;794.39;787.01;791;3917.87;3100648.86;791.41
20.12.2016;1482192000;791.03;803;787.1;798.65;4118.69;3267705.4;793.38
21.12.2016;1482278400;798.83;834.97;796.82;832.75;9391.36;7667888.81;816.48
22.12.2016;1482364800;832.02;875;827.29;859.96;12070.35;10331509.73;855.94
23.12.2016;1482451200;858.94;920;858.93;914;16526.63;14837057.96;897.77
24.12.2016;1482537600;914.48;918.5;878.89;892.61;6026.45;5425021.88;900.2
25.12.2016;1482624000;892.61;894.97;859;890.67;4658.24;4071449.16;874.03
26.12.2016;1482710400;890.65;905.18;888;897.1;3467.55;3117208.42;898.97
27.12.2016;1482796800;897.82;936.42;891;930.34;7225.77;6665199.07;922.42
28.12.2016;1482883200;930.34;976.48;929.49;976.47;12285.11;11744311.24;955.98
29.12.2016;1482969600;976.48;980.74;950;969.58;7858.46;7599251.05;967.02
30.12.2016;1483056000;969.99;970;931;959.54;10755.04;10228764.24;951.07
31.12.2016;1483142400;959.54;966.37;944.11;966.3;4162.92;3978648.15;955.73
01.01.2017;1483228800;966.34;1005;960.53;997.75;6850.59;6764742.06;987.47
02.01.2017;1483315200;997.75;1032;990.01;1012.54;8167.38;8273576.99;1013
03.01.2017;1483401600;1011.44;1039;999.99;1035.24;9089.66;9276500.31;1020.56
04.01.2017;1483488000;1035.51;1139.89;1028.56;1114.92;21562.46;23469644.96;1088.45
05.01.2017;1483574400;1114.38;1136.72;885.41;1004.74;36018.86;36211399.53;1005.35
06.01.2017;1483660800;1004.73;1026.99;871;893.89;27916.7;25523261.28;914.26
07.01.2017;1483747200;894.02;907.05;812.28;906.2;20401.11;17624310.02;863.89
08.01.2017;1483833600;906.2;941.81;881.3;909.75;8937.49;8168170.35;913.92
09.01.2017;1483920000;909.8;912.87;875;896.23;8716.18;7780059.06;892.6
10.01.2017;1484006400;896.09;912.47;889.41;905.05;8535.52;7704271.2;902.61
11.01.2017;1484092800;905.24;918.4;755;778.62;35893.77;29459968.9;820.75
12.01.2017;1484179200;778.7;832.99;751.34;807.47;17400.14;13632251.44;783.46
13.01.2017;1484265600;807.51;831.4;775;825.86;11409.52;9224729.89;808.51
14.01.2017;1484352000;825.98;837.76;810;818.27;6614.72;5470214.99;826.98
15.01.2017;1484438400;819.52;823.45;808;821.86;4231.46;3455365.87;816.59
16.01.2017;1484524800;821.86;835;818.09;831.81;6166.04;5107031.21;828.25
17.01.2017;1484611200;831.76;908.5;827;905.99;12264.17;10775497.86;878.62
18.01.2017;1484697600;905.95;915.99;851.74;887.7;11181.9;9830117.65;879.11
19.01.2017;1484784000;887.69;910;878.89;901.01;11094.6;9929647.2;895
20.01.2017;1484870400;902.23;902.43;880;895.8;6618.63;5915865.49;893.82
21.01.2017;1484956800;895.81;928;895;921.98;5865.63;5373391.08;916.08
22.01.2017;1485043200;921.98;937.74;886.76;923.76;7166.67;6569177.19;916.63
23.01.2017;1485129600;923.75;927.57;913.21;913.52;3514.74;3234454.3;920.25
24.01.2017;1485216000;913.15;923;881.48;885.47;9405.05;8495975.46;903.34
25.01.2017;1485302400;885.47;904.01;884.5;893.43;5291.55;4725942.37;893.11
26.01.2017;1485388800;893.25;919.49;892.86;914.83;5164.9;4688102.25;907.69
27.01.2017;1485475200;914.95;924.88;908.01;918.02;4830.54;4433746.38;917.86
28.01.2017;1485561600;918.02;920.99;913.08;918.6;1175.86;1078884.52;917.53
29.01.2017;1485648000;918.6;919.99;910.45;912.01;1349.01;1234746.08;915.29
30.01.2017;1485734400;913.12;923;910;919.99;3121.19;2865063.73;917.94
31.01.2017;1485820800;919.99;970;917.5;963.99;9507.1;9024041.55;949.19
01.02.2017;1485907200;963.99;986.96;962;983.67;6954.4;6748543.97;970.4
